key,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire
9-97,191600,234023,0,113999,0,0,0,0,103095,0,120500,91087,0,103000,192235,0,383087,0,151111,91000,,245370,208333,0,230404,170000,0,132009,115950,0,109792,186066,305634,94333,202564,384374,276694,327947,285256,109062,73333,141481,195645,111500,,0,0,0,227362,0,0,173588,276504,0
10-97,189283,239244,0,115651,0,0,0,0,97833,0,116521,85303,0,80833,178860,0,395521,0,134166,93333,,272058,177646,0,229978,169333,0,127317,114000,0,110865,186060,293283,99411,182174,377458,274414,330678,264285,101667,100000,138643,194444,116406,,0,0,0,220112,0,0,178015,278682,0
11-97,190763,239999,0,113157,0,0,0,0,104117,0,124166,89374,0,85714,167707,0,378905,0,132857,79285,,247825,199166,0,235444,160000,0,131273,116500,0,113496,189694,314286,96499,192777,393670,296299,329108,273571,106470,106666,143077,190816,114318,,0,0,0,217753,0,0,176175,283094,0
12-97,186555,234375,0,117599,0,0,0,0,104576,0,123333,88620,0,95000,180722,0,384677,0,130000,89444,,230263,211363,0,238972,174333,0,121690,115000,0,111300,191818,335294,99666,191764,401974,225223,341365,273025,103125,81250,137718,190192,110702,,0,0,0,225741,0,0,173601,276105,0
1-98,188094,229687,0,111249,0,0,0,0,98157,0,110833,86590,0,77499,176261,0,371621,0,128571,100000,,248332,210714,0,230399,154999,0,121908,114745,0,94851,191603,302586,124500,188571,406863,257719,326666,282143,106666,110000,133508,206818,119090,,0,0,0,219186,0,0,170362,279464,105799
2-98,183898,234772,0,109333,0,0,0,0,95454,0,112499,86428,0,87499,169043,0,387777,0,140000,92857,,242499,216071,0,231475,164166,0,129529,113000,0,93664,185564,304167,122353,175555,397580,284235,322988,283871,114814,90000,137499,199696,109464,,0,0,0,229303,0,0,178784,280105,113203
3-98,193909,239595,0,113076,0,0,0,0,97878,0,112727,91923,0,93571,167343,0,405769,0,132999,89545,,247825,210000,0,242669,165937,0,127575,118250,0,98609,198300,306849,120263,178999,414084,232340,351158,287500,109310,95000,147272,201136,114246,,0,0,0,224831,0,0,180514,290126,113316
4-98,198252,259606,0,118124,0,0,0,0,95781,0,113333,84843,0,112499,171035,0,429166,0,148000,100000,,248484,207353,0,245336,172666,0,123634,125000,0,97813,209580,348765,119031,171351,432857,259104,371575,290555,110714,180000,139305,202631,120132,,0,0,0,225497,0,0,181693,297473,111865
5-98,202956,255440,0,119696,0,0,0,0,99705,0,112692,93500,0,85999,167067,0,425000,0,130000,103846,,260294,213636,0,263221,170000,0,135223,129025,0,96230,206332,358426,115509,180000,424038,200004,378548,309091,107272,250000,147500,218499,118110,,0,0,0,239226,0,0,188068,307756,116050
6-98,209003,267806,0,121905,0,0,0,0,100000,0,119285,95199,0,89285,194120,0,429411,0,131428,97856,,245624,209524,0,266929,182000,0,125352,125652,0,115882,214320,331034,131594,186000,449504,234297,383870,305195,117199,163333,157499,227614,111318,,0,0,0,232552,0,0,193072,316038,124314
